City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Fianarantsoa,MG,2022-03-22 02:46:09,-21.4333,47.0833,59.09,91,100,2.37
68,Saskylakh,RU,2022-03-22 02:46:09,71.9167,114.0833,3.83,94,100,5.64
69,Sibolga,ID,2022-03-22 02:46:10,1.7427,98.7792,84.97,65,52,3.13
70,Clyde River,CA,2022-03-22 02:45:47,70.4692,-68.5914,-14.57,76,100,8.05
71,Norman Wells,CA,2022-03-22 02:46:10,65.282,-126.8329,1.44,60,20,12.66
72,Ponta Do Sol,PT,2022-03-22 02:46:11,32.6667,-17.1,65.07,72,82,7.9
73,Bengkulu,ID,2022-03-22 02:46:11,-3.8004,102.2655,83.28,68,100,3.94
74,Coahuayana,MX,2022-03-22 02:45:20,18.7333,-103.6833,69.39,61,11,3.02
75,Isangel,VU,2022-03-22 02:46:11,-19.55,169.2667,81.21,79,97,4.74
76,Parabel,RU,2022-03-22 02:46:12,58.6978,81.4825,16.9,92,100,7.85
77,Cabo San Lucas,MX,2022-03-22 02:45:51,22.8909,-109.9124,70.61,67,22,5.01
78,Nicolas Bravo,MX,2022-03-22 02:46:12,18.45,-88.9167,71.76,86,0,3.33
79,Castro,BR,2022-03-22 02:46:12,-24.7911,-50.0119,58.39,93,89,10.98
80,Albany,US,2022-03-22 02:42:17,42.6001,-73.9662,43.36,52,44,7.0
81,Artesia,US,2022-03-22 02:45:26,33.8658,-118.0831,72.9,53,0,6.91
82,Mar Del Plata,AR,2022-03-22 02:46:13,-38.0023,-57.5575,66.09,87,100,40.0
83,Husavik,IS,2022-03-22 02:46:13,66.0449,-17.3389,31.48,89,100,3.74
84,Maldonado,UY,2022-03-22 02:46:14,-34.6667,-54.9167,65.59,63,87,15.66
85,Vlasikha,RU,2022-03-22 02:46:14,53.2972,83.5742,27.45,74,75,11.18
86,Henties Bay,NA,2022-03-22 02:46:14,-22.116,14.2845,68.79,90,100,7.87
87,Lebu,CL,2022-03-22 02:46:15,-37.6167,-73.65,55.26,89,19,14.14
88,Dikson,RU,2022-03-22 02:47:15,73.5069,80.5464,1.76,95,100,16.6
89,Provideniya,RU,2022-03-22 02:47:15,64.3833,-173.3,19.51,63,0,0.0
90,Nacala,MZ,2022-03-22 02:47:16,-14.5428,40.6728,70.34,92,95,8.66
91,Nishihara,JP,2022-03-22 02:47:16,26.1842,127.7558,73.45,89,100,14.97
92,Araouane,ML,2022-03-22 02:47:16,18.9048,-3.5265,70.77,14,1,11.79
93,Bagdarin,RU,2022-03-22 02:47:17,54.4333,113.6,25.38,61,33,2.04
94,Pevek,RU,2022-03-22 02:47:17,69.7008,170.3133,27.03,73,100,22.17
95,Barrow,US,2022-03-22 02:43:57,71.2906,-156.7887,-9.38,77,0,6.91
96,Hithadhoo,MV,2022-03-22 02:47:18,-0.6,73.0833,83.79,73,14,15.82
97,Rocha,UY,2022-03-22 02:47:18,-34.4833,-54.3333,62.65,68,47,10.33
98,Camalu,MX,2022-03-22 02:47:18,30.85,-116.0667,58.64,79,86,4.61
99,Longyearbyen,SJ,2022-03-22 02:47:19,78.2186,15.6401,19.24,63,75,23.02
100,Bani,DO,2022-03-22 02:47:19,18.2833,-70.3333,72.84,77,31,11.23
101,Bethel,US,2022-03-22 02:47:19,41.3712,-73.414,52.11,45,95,1.99
102,Havoysund,NO,2022-03-22 02:47:20,70.9963,24.6622,34.03,75,100,35.61
103,Sumkino,RU,2022-03-22 02:47:20,58.1108,68.3244,22.39,95,98,9.35
104,East London,ZA,2022-03-22 02:47:20,-33.0153,27.9116,68.61,84,4,8.97
105,Bredasdorp,ZA,2022-03-22 02:47:21,-34.5322,20.0403,68.45,89,59,9.17
106,Upernavik,GL,2022-03-22 02:47:21,72.7868,-56.1549,-18.13,67,95,5.44
107,Cape Town,ZA,2022-03-22 02:47:21,-33.9258,18.4232,67.12,88,0,14.97
108,Champerico,GT,2022-03-22 02:47:22,14.3,-91.9167,81.73,70,20,7.27
109,Kapaa,US,2022-03-22 02:43:29,22.0752,-159.319,80.58,69,40,18.41
110,Calbuco,CL,2022-03-22 02:46:38,-41.768,-73.1273,51.01,80,94,5.03
111,Victoria,HK,2022-03-22 02:44:39,22.2855,114.1577,82.96,88,99,15.99
112,New Norfolk,AU,2022-03-22 02:47:22,-42.7826,147.0587,63.9,73,100,3.0
113,Tandil,AR,2022-03-22 02:46:10,-37.3217,-59.1332,58.6,85,100,11.86
114,Novyy Urengoy,RU,2022-03-22 02:47:23,66.0833,76.6333,-12.37,100,92,1.72
115,Mahajanga,MG,2022-03-22 02:47:23,-15.7167,46.3167,75.22,94,20,5.75
116,Moerai,PF,2022-03-22 02:47:24,-22.4333,-151.3333,81.03,74,100,8.57
117,Altay,CN,2022-03-22 02:47:25,47.8667,88.1167,29.32,88,100,2.1
118,Santiago,CL,2022-03-22 02:47:25,-33.4569,-70.6483,65.86,50,0,6.91
119,Guerrero Negro,MX,2022-03-22 02:47:26,27.9769,-114.0611,58.69,82,2,13.53
120,Lianzhou,CN,2022-03-22 02:47:26,24.7811,112.3825,53.89,89,100,5.84
121,Lompoc,US,2022-03-22 02:47:26,34.6391,-120.4579,62.74,75,0,13.8
122,Ancud,CL,2022-03-22 02:47:27,-41.8697,-73.8203,48.83,83,54,1.77
123,Srednekolymsk,RU,2022-03-22 02:47:27,67.45,153.6833,25.34,91,100,2.46
124,Nemuro,JP,2022-03-22 02:47:27,43.3236,145.575,34.54,62,1,19.04
125,Vysokogornyy,RU,2022-03-22 02:47:28,50.1167,139.15,21.11,74,70,16.26
126,Hilo,US,2022-03-22 02:47:28,19.7297,-155.09,78.53,72,75,9.22
127,Vallenar,CL,2022-03-22 02:45:23,-28.5708,-70.7581,68.34,59,0,1.81
128,Myanaung,MM,2022-03-22 02:47:29,18.2833,95.3167,76.17,82,100,5.19
129,Tiksi,RU,2022-03-22 02:47:29,71.6872,128.8694,-7.11,94,48,1.97
130,Port Blair,IN,2022-03-22 02:47:29,11.6667,92.75,82.44,83,40,5.75
131,Juarez,MX,2022-03-22 02:46:10,31.7333,-106.4833,57.29,56,75,27.63
132,Bilma,NE,2022-03-22 02:47:30,18.6853,12.9164,70.3,22,0,19.46
133,Pisco,PE,2022-03-22 02:48:30,-13.7,-76.2167,72.01,78,0,10.36
134,Kudahuvadhoo,MV,2022-03-22 02:48:31,2.6708,72.8944,82.81,69,0,14.52
135,Thompson,CA,2022-03-22 02:48:31,55.7435,-97.8558,32.16,47,100,5.75
136,Takoradi,GH,2022-03-22 02:48:31,4.8845,-1.7554,79.54,86,52,6.8
137,Shu,KZ,2022-03-22 02:48:32,43.5983,73.7614,34.47,95,100,3.31
138,Sao Joao Da Barra,BR,2022-03-22 02:48:32,-21.6403,-41.0511,71.2,85,100,14.54
139,Yellowknife,CA,2022-03-22 02:48:32,62.456,-114.3525,15.57,82,100,17.27
140,Kruisfontein,ZA,2022-03-22 02:48:33,-34.0033,24.7314,63.18,84,0,3.31
141,Cerete,CO,2022-03-22 02:46:24,8.8848,-75.7905,80.58,83,20,4.61
142,Nanortalik,GL,2022-03-22 02:48:33,60.1432,-45.2371,16.52,83,16,7.49
143,Morondava,MG,2022-03-22 02:48:33,-20.2833,44.2833,75.92,88,100,7.81
144,Ribeira Grande,PT,2022-03-22 02:48:34,38.5167,-28.7,57.49,71,100,18.88
145,Acapulco,MX,2022-03-22 02:45:33,16.8634,-99.8901,76.82,88,20,4.61
146,Laguna,US,2022-03-22 02:48:34,38.421,-121.4238,80.89,35,0,14.97
147,Kavieng,PG,2022-03-22 02:48:35,-2.5744,150.7967,84.09,71,99,4.29
148,Saint-Joseph,RE,2022-03-22 02:48:35,-21.3667,55.6167,77.38,88,68,10.78
149,Margate,GB,2022-03-22 02:47:51,51.3813,1.3862,48.31,84,80,1.01
150,Mahebourg,MU,2022-03-22 02:48:36,-20.4081,57.7,77.25,100,75,8.05
151,Killybegs,IE,2022-03-22 02:48:36,54.6333,-8.45,47.89,89,95,12.8
152,Kahului,US,2022-03-22 02:48:36,20.8947,-156.47,80.62,65,20,13.8
153,Pangkalanbuun,ID,2022-03-22 02:48:37,-2.6833,111.6167,76.24,86,100,2.98
154,Azul,AR,2022-03-22 02:48:37,-36.777,-59.8585,60.35,74,100,11.1
155,Burriana,ES,2022-03-22 02:48:37,39.889,-0.085,53.67,98,100,18.7
156,Severo-Kurilsk,RU,2022-03-22 02:48:38,50.6789,156.125,29.01,58,99,18.57
157,Coquimbo,CL,2022-03-22 02:45:05,-29.9533,-71.3436,63.86,77,0,6.04
158,Fairbanks,US,2022-03-22 02:45:57,64.8378,-147.7164,15.76,43,0,11.5
159,Vardo,NO,2022-03-22 02:48:38,70.3705,31.1107,33.31,68,99,37.54
160,Dakar,SN,2022-03-22 02:48:39,14.6937,-17.4441,65.28,85,28,17.96
161,Vanersborg,SE,2022-03-22 02:48:39,58.3807,12.3234,35.58,64,100,5.75
162,Xiongyue,CN,2022-03-22 02:48:39,40.1774,122.1228,40.82,40,25,4.59
163,San Matias,BO,2022-03-22 02:48:40,-16.3667,-58.4,75.0,93,67,3.91
164,Deputatskiy,RU,2022-03-22 02:48:40,69.3,139.9,7.74,76,100,4.14
165,Fredericksburg,US,2022-03-22 02:46:00,38.3032,-77.4605,57.92,60,0,3.44
166,Douglas,US,2022-03-22 02:45:26,41.3,-96.167,49.08,90,100,12.66
167,Trelew,AR,2022-03-22 02:48:41,-43.249,-65.3051,63.36,47,91,10.47
168,Umm Kaddadah,SD,2022-03-22 02:48:41,13.6017,26.6876,71.37,9,1,10.18
169,Port Lincoln,AU,2022-03-22 02:47:10,-34.7333,135.8667,66.22,78,100,11.3
170,Marzuq,YE,2022-03-22 02:48:41,14.4,46.4667,67.6,44,7,5.64
171,Ovalle,CL,2022-03-22 02:48:09,-30.5983,-71.2003,67.42,49,0,2.15
